"214187776","214187807","US","USA","UNITED STATES"
"214187816","214187895","US","USA","UNITED STATES"
"214188032","214237247","US","USA","UNITED STATES"
"214237312","214249471","US","USA","UNITED STATES"
"214253568","214448335","US","USA","UNITED STATES"
"214448344","214697983","US","USA","UNITED STATES"
"214698016","214698023","US","USA","UNITED STATES"
"214698144","214698151","US","USA","UNITED STATES"
"214698272","214698279","US","USA","UNITED STATES"
"214698288","214698303","US","USA","UNITED STATES"
"214698336","214698343","US","USA","UNITED STATES"
"214698368","214698383","US","USA","UNITED STATES"
"214699296","214699303","US","USA","UNITED STATES"
"214699368","214699383","US","USA","UNITED STATES"
"214699456","214699471","US","USA","UNITED STATES"
"214699488","214699519","US","USA","UNITED STATES"
"214699784","214699799","US","USA","UNITED STATES"
"214699816","214699823","US","USA","UNITED STATES"
"214699848","214699855","US","USA","UNITED STATES"
"214699896","214858655","US","USA","UNITED STATES"
"214858672","216417663","US","USA","UNITED STATES"
"216417728","216637639","US","USA","UNITED STATES"
"216637648","216820479","US","USA","UNITED STATES"
"216820488","216835615","US","USA","UNITED STATES"
"216835624","216881191","US","USA","UNITED STATES"
"216881200","216996407","US","USA","UNITED STATES"
"216996416","216996543","US","USA","UNITED STATES"
"216996560","217027999","US","USA","UNITED STATES"
"217028008","217046775","US","USA","UNITED STATES"
"217046784","234881023","US","USA","UNITED STATES"
"268435456","289011535","US","USA","UNITED STATES"
"289011544","323243895","US","USA","UNITED STATES"
"323243904","332132119","US","USA","UNITED STATES"
"332132128","355993887","US","USA","UNITED STATES"
"355993896","368674047","US","USA","UNITED STATES"
"368674304","385875967","US","USA","UNITED STATES"
"402653184","404684799","US","USA","UNITED STATES"
"404692992","404979711","US","USA","UNITED STATES"
"405143552","405180415","US","USA","UNITED STATES"
"405184512","405192703","US","USA","UNITED STATES"
"405209088","405295103","US","USA","UNITED STATES"
"405299200","405331967","US","USA","UNITED STATES"
"405340160","405364735","US","USA","UNITED STATES"
"405422080","405798911","US","USA","UNITED STATES"
"405831680","405843967","US","USA","UNITED STATES"
"405864448","405917695","US","USA","UNITED STATES"
